target,ids,date,flag,user,text
1,1573947084,Tue Apr 21 03:36:01 PDT 2009,NO_QUERY,mockingbird_,"aaaaaaw A. is back from Guatemala &lt;3 Yay, we missed her so much"
0,1679384328,Sat May 02 09:13:31 PDT 2009,NO_QUERY,spaulds1,@davidkyle I Think 'Intel Retail' People Saw it Thursday. I haven't seen it yet!!
0,1564856653,Mon Apr 20 05:09:28 PDT 2009,NO_QUERY,JennW,@deabush hah. Ditto.
0,1556836246,Sun Apr 19 00:35:10 PDT 2009,NO_QUERY,Luvs2ShopAlot,Why did I bite my fingernail so short? Now it hurts!
1,1564219632,Mon Apr 20 02:23:28 PDT 2009,NO_QUERY,TerryHands,@brendonsinclair at least she knows what end goes in the hole. It may not be square but at least it is a hole
1,1691383251,Sun May 03 17:44:26 PDT 2009,NO_QUERY,cougarmicrobes,@creamteam Better safe than sorry.
0,1685376587,Sun May 03 00:07:33 PDT 2009,NO_QUERY,tyriesha,ear infection is slowly killing me
1,1686931805,Sun May 03 07:15:06 PDT 2009,NO_QUERY,EdKJ,Playing poker again - just re-bought in
0,1680128833,Sat May 02 10:58:15 PDT 2009,NO_QUERY,xCraziiChiicax,@lameBIRDIE haha yeah. you know what? i don't really care. I just miss my TweetDeck. i am STILL hitting enter!
1,1469843643,Tue Apr 07 07:35:00 PDT 2009,NO_QUERY,rvarttinen,@olabini Sounds like a design of mine
1,1558885018,Sun Apr 19 09:40:17 PDT 2009,NO_QUERY,torbor,@amandawilliams the things we will go through to look good
1,1686661780,Sun May 03 06:19:09 PDT 2009,NO_QUERY,mattbramanti,Paid ad: Advertisement: how do you guys handle fax? i want to receive them via email. no hassle. anyone tried MyFax? http://is.gd/wm7f
0,1793093376,Thu May 14 01:20:52 PDT 2009,NO_QUERY,piewalker,preparing for a 24 hour run ride row. yey
0,1468397171,Tue Apr 07 01:25:09 PDT 2009,NO_QUERY,BaldGuyKen,"Even after the Aust. gov. rolls out its $43 Bln 100Mb b'band, we'll still be way behind most of the rest of the worlds b'band speeds"
0,1557978311,Sun Apr 19 06:48:39 PDT 2009,NO_QUERY,DimitriNosarev,is very sore this morning but feel great because of the accomplishment! #robie #robiecreek
1,1555905196,Sat Apr 18 21:02:14 PDT 2009,NO_QUERY,MaraATL,@shanedawson deff shane your pic is great.
0,1791732958,Wed May 13 20:56:43 PDT 2009,NO_QUERY,alicia721,I don't think allison will win
1,1691197679,Sun May 03 17:19:09 PDT 2009,NO_QUERY,meechelle12,"back from kim's. jonas brothers first episode was stupid, but i liked the song"
0,1550873690,Sat Apr 18 07:30:34 PDT 2009,NO_QUERY,Divagrl,@LaMisty_Elite the mikey worm! It's a virus. Some kid hacks into ur acct. I don't know how 2 get rid of it! HELP!!!
0,1792741649,Thu May 14 00:05:30 PDT 2009,NO_QUERY,Finx1,Argh!!! Swollen glands.. Now I can't talk and feels like I'm swallowing marbles..
0,1751317012,Sat May 09 19:10:01 PDT 2009,NO_QUERY,nickel_berry,Working out without sneddy sad day
0,1693654129,Sun May 03 23:17:06 PDT 2009,NO_QUERY,realmitz,I can't sleepn I can't find any alcohol in my friends house..
0,1551870712,Sat Apr 18 10:11:11 PDT 2009,NO_QUERY,_Kimbuhlee_,"Another rainy ass day in Houston, I can't see him in the rain"
0,1558192156,Sun Apr 19 07:34:58 PDT 2009,NO_QUERY,kpax77,can't stop eating
0,1556216852,Sat Apr 18 22:02:04 PDT 2009,NO_QUERY,shutupmeg,"(@MatAshton) I'm having violent feelings towards a bird outside my window, it won't shut up! i only want to sleep! x"
1,1680238184,Sat May 02 11:13:12 PDT 2009,NO_QUERY,CuppyKait,gonna go have me some fun and get free shit
1,1468819182,Tue Apr 07 03:54:06 PDT 2009,NO_QUERY,bryantma,"@joniconix Ah, you refer to the tabloid not letters. I see. In that case I must add an additional rephrasing. &quot;I don't.&quot;"
1,1685346287,Sun May 03 00:00:11 PDT 2009,NO_QUERY,jaceypants,"@Emmieleigh I think it's like another hour...LOL!!! Normally it's only 2 hours, but @retrorewind luvs us too much to say no"
1,1558854739,Sun Apr 19 09:35:15 PDT 2009,NO_QUERY,JesWearsPants,i officially have my own car
1,1678519779,Sat May 02 06:58:07 PDT 2009,NO_QUERY,DailyGirlsAloud,@swiftmed thanks for that! I'll find something on that site to post.
1,1685996695,Sun May 03 03:11:54 PDT 2009,NO_QUERY,johndoemagazine,@YourFilm_KO Yes. Mind you I was the same person who said Hatton could dust the Pacman
0,1686772922,Sun May 03 06:43:10 PDT 2009,NO_QUERY,cmongood,@chilly_o I tweeted u yesterday! 20 hrs ago probably!
0,1684895579,Sat May 02 22:22:54 PDT 2009,NO_QUERY,MIXJUNKIE360,I wish i was there. I want to dance with irene. &lt;MixJunkie 360&gt;
0,1559354592,Sun Apr 19 10:55:22 PDT 2009,NO_QUERY,Yunek,The 11am was the Bomb! Now I can't wait to get out these church clothes and Heels...Lawd my pinky toe hurts LOL!
1,1692492013,Sun May 03 20:06:41 PDT 2009,NO_QUERY,mandiengram,@otisatthestate Awesome. That's great news! Can't wait. My favorite is the Fiske fries.
0,1680949736,Sat May 02 12:52:10 PDT 2009,NO_QUERY,aileenismean,Tired and jealous my bf gets to go to sf but not me
1,1685219478,Sat May 02 23:30:08 PDT 2009,NO_QUERY,ty_demo15,heading to the hospital..contractions are pretty regular..we'll see
1,1559612530,Sun Apr 19 11:35:50 PDT 2009,NO_QUERY,jamesErrington,Me and the boy have been sent downstairs while the girls prepare for my Birthday tomorrow
1,1676713090,Fri May 01 22:55:57 PDT 2009,NO_QUERY,tabandval,@calvarybird Haha it has been a good day for you! I liked it better than all the high school musicals
